avg client power,avg server power,time,computer,energy,site,theme,plugin
2.160733452593903,2.159320214669057,61.504999999999995,client energy,132.895911001788,6,2023,Our
2.1397137745974852,2.19282647584972,67.89999999999999,client energy,145.28656529516923,6,2023,Our
2.1777246653919575,2.1975717017208383,58.0,client energy,126.30803059273353,6,2023,Our
2.1573426573426553,2.1333216783216766,66.71999999999991,client energy,143.93790209790177,6,2023,Our
2.1843749999999984,2.1507720588235277,56.803,client energy,124.0790531249999,6,2023,Our
2.1737132352941173,2.1263970588235246,56.19800000000009,client energy,122.158336397059,6,2023,Our
2.141258741258736,2.162727272727267,62.402000000000044,client energy,133.61882797202773,6,2023,Our
2.174045801526714,2.1801526717557196,58.400999999999954,client energy,126.96644885496151,6,2023,Our
2.1687739463601545,2.1583141762452054,56.19799999999998,client energy,121.88075823754792,6,2023,Our
2.1747282608695526,2.1241123188405746,58.69499999999999,client energy,127.64567527173837,6,2023,Our
2.142473118279571,2.1604301075268766,60.40400000000011,client energy,129.41394623655944,6,2023,Our
2.1566071428571387,2.1184642857142797,58.399000000000115,client energy,125.94370053571429,6,2023,Our
2.154646840148698,2.1816356877323377,57.59999999999991,client energy,124.1076579925648,6,2023,Our
2.164999999999997,2.129499999999994,69.59999999999991,client energy,150.6839999999996,6,2023,Our
2.1742366412213783,2.1737786259541942,55.396999999999935,client energy,120.44618721374054,6,2023,Our
2.1298305084745714,2.1990508474576216,63.797000000000025,client energy,135.8767969491523,6,2023,Our
2.1666077738515863,2.135583038869255,57.59999999999991,client energy,124.79660777385118,6,2023,Our
2.1617957746478855,2.1615845070422464,63.19600000000014,client energy,136.61684577464808,6,2023,Our
2.1611524163568765,2.1365055762081737,54.799999999999955,client energy,118.43115241635674,6,2023,Our
2.155087719298243,2.154140350877187,61.798,client energy,133.18011087719285,6,2023,Our
2.1769372693726945,2.1792619926199186,56.20100000000002,client energy,122.34605147601485,6,2023,Our
2.17261029411765,2.1572426470588177,57.59699999999998,client energy,125.13583511029424,6,2023,Our
2.154593639575968,2.1538162544169555,57.600000000000136,client energy,124.10459363957605,6,2023,Our
2.159010600706712,2.095159010600702,63.20100000000002,client energy,136.45162897526495,6,2023,Our
2.160366972477051,2.1091559633027552,58.0,client energy,125.30128440366896,6,2023,Our
2.150191570881228,2.1367049808429077,56.9970000000003,client energy,122.554468965518,6,2023,Our
2.1573929961089524,2.1651750972762667,55.39700000000039,client energy,119.51309980544848,6,2023,Our
2.141783216783215,2.128076923076917,66.59700000000021,client energy,142.63633688811223,6,2023,Our
2.1761296660117786,2.141414538310403,55.799000000000035,client energy,121.42585923379131,6,2023,Our
2.18107344632767,2.1524482109227874,56.499000000000024,client energy,123.22846864406708,6,2023,Our
2.160733452593903,2.159320214669057,61.504999999999995,server energy,132.80898980322033,6,2023,Our
2.1397137745974852,2.19282647584972,67.89999999999999,server energy,148.89291771019595,6,2023,Our
2.1777246653919575,2.1975717017208383,58.0,server energy,127.45915869980863,6,2023,Our
2.1573426573426553,2.1333216783216766,66.71999999999991,server energy,142.33522237762207,6,2023,Our
2.1843749999999984,2.1507720588235277,56.803,server energy,122.17030525735284,6,2023,Our
2.1737132352941173,2.1263970588235246,56.19800000000009,server energy,119.49926191176463,6,2023,Our
2.141258741258736,2.162727272727267,62.402000000000044,server energy,134.958507272727,6,2023,Our
2.174045801526714,2.1801526717557196,58.400999999999954,server energy,127.32309618320568,6,2023,Our
2.1687739463601545,2.1583141762452054,56.19799999999998,server energy,121.29294007662801,6,2023,Our
2.1747282608695526,2.1241123188405746,58.69499999999999,server energy,124.67477255434751,6,2023,Our
2.142473118279571,2.1604301075268766,60.40400000000011,server energy,130.49862021505368,6,2023,Our
2.1566071428571387,2.1184642857142797,58.399000000000115,server energy,123.71619582142846,6,2023,Our
2.154646840148698,2.1816356877323377,57.59999999999991,server energy,125.66221561338246,6,2023,Our
2.164999999999997,2.129499999999994,69.59999999999991,server energy,148.21319999999938,6,2023,Our
2.1742366412213783,2.1737786259541942,55.396999999999935,server energy,120.42081454198436,6,2023,Our
2.1298305084745714,2.1990508474576216,63.797000000000025,server energy,140.29284691525393,6,2023,Our
2.1666077738515863,2.135583038869255,57.59999999999991,server energy,123.0095830388689,6,2023,Our
2.1617957746478855,2.1615845070422464,63.19600000000014,server energy,136.60349450704211,6,2023,Our
2.1611524163568765,2.1365055762081737,54.799999999999955,server energy,117.08050557620783,6,2023,Our
2.155087719298243,2.154140350877187,61.798,server energy,133.12156540350838,6,2023,Our
2.1769372693726945,2.1792619926199186,56.20100000000002,server energy,122.4767032472321,6,2023,Our
2.17261029411765,2.1572426470588177,57.59699999999998,server energy,124.25070474264668,6,2023,Our
2.154593639575968,2.1538162544169555,57.600000000000136,server energy,124.05981625441693,6,2023,Our
2.159010600706712,2.095159010600702,63.20100000000002,server energy,132.416144628975,6,2023,Our
2.160366972477051,2.1091559633027552,58.0,server energy,122.33104587155981,6,2023,Our
2.150191570881228,2.1367049808429077,56.9970000000003,server energy,121.78577379310384,6,2023,Our
2.1573929961089524,2.1651750972762667,55.39700000000039,server energy,119.94420486381419,6,2023,Our
2.141783216783215,2.128076923076917,66.59700000000021,server energy,141.7235388461539,6,2023,Our
2.1761296660117786,2.141414538310403,55.799000000000035,server energy,119.48878982318226,6,2023,Our
2.18107344632767,2.1524482109227874,56.499000000000024,server energy,121.61117146892661,6,2023,Our
